OTU ID	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	N01	N02	N03	N04	N05	N06	N07	N08	N10	N11	N12	N13	N14	N15	N16	taxonomy
2100441c9c266964af0416d7473fc126	307.0	240.0	199.0	427.0	0.0	0.0	0.0	0.0	0.0	349.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
d265cd9c509012f77ac542378ce93344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	809.0	0.0	0.0	0.0	88.0	0.0	48.0	0.0	135.0	0.0	191.0	14.0	225.0	8.0	0.0	Unassigned
1101fc2a9d1c58d4dcead733ab1d2e37	0.0	0.0	0.0	0.0	236.0	343.0	306.0	322.0	303.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
2a7e9abe866f49ff39c8bcebd1be907b	293.0	179.0	259.0	134.0	108.0	15.0	77.0	71.0	126.0	222.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
b7f7ea3299a7709add9489114daa46ec	0.0	0.0	0.0	0.0	234.0	210.0	480.0	212.0	301.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
de95edce22a44931c6bb3bf95220aade	0.0	0.0	0.0	0.0	942.0	0.0	44.0	245.0	194.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
4a4f94c1786b336cc68380b4bb0ff32e	0.0	0.0	0.0	0.0	359.0	256.0	492.0	125.0	167.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
988c47d941a5bad411a023ee1ed7b5d9	183.0	352.0	209.0	276.0	0.0	77.0	52.0	0.0	0.0	190.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
f4fdb9ecbabb26406620a17061caf3b2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	132.0	1154.0	0.0	7.0	Unassigned
c8201e7ab3e489c57c14ee52cb1cc21d	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1303.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
60fc76e2a915949df10cf9833003fb29	25.0	57.0	35.0	58.0	13.0	493.0	310.0	43.0	31.0	29.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
ba3a426053b1cfd12210a92631dc8cb1	0.0	0.0	0.0	0.0	213.0	0.0	0.0	438.0	439.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
06a459616b6514bbb9432d951470eeaf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	183.0	898.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
75776764065cf5111d6a186068cbb3ff	132.0	187.0	172.0	157.0	0.0	151.0	148.0	0.0	12.0	118.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
5b0da60509ae4ac11f4ffdc13c6c37a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1076.0	0.0	Unassigned
b3ff363212bff8dcfacb72ccf53d2e88	0.0	0.0	0.0	0.0	133.0	252.0	243.0	209.0	234.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
40a604ce5e271d20c8bdb4d3a0bd9715	0.0	12.0	0.0	0.0	337.0	119.0	205.0	142.0	254.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
3e252b6536d8d7a0a490e9fe2610930c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1028.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	Unassigned
ec65c6c164cf42f173c1a730038dfda8	143.0	293.0	148.0	275.0	0.0	0.0	0.0	0.0	0.0	189.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
8ee95750c7e287ebe70f9c7f14f70752	192.0	210.0	178.0	280.0	0.0	0.0	0.0	0.0	0.0	185.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
04f162821c04a29556a8b49f933cd498	50.0	96.0	53.0	67.0	107.0	189.0	96.0	138.0	165.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
d11abc5044516fb2097e28719c321a55	37.0	0.0	39.0	45.0	137.0	76.0	52.0	256.0	329.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
661a3c66cf41c64b6cf5f01425c5be35	45.0	0.0	52.0	83.0	113.0	5.0	22.0	302.0	321.0	67.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
59bd5b1929d33b8abb0ebaac275c9fc3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	998.0	0.0	Unassigned
8a9e76ebb9ce7e88d575b706946df8ca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	975.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
c366064866eaed18a54d15640272ab34	0.0	0.0	0.0	0.0	154.0	220.0	143.0	229.0	219.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
4715d00a2315b24a3fcc1b66ae839a94	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	61.0	149.0	28.0	99.0	17.0	0.0	137.0	43.0	84.0	0.0	95.0	68.0	43.0	88.0	0.0	Unassigned
7b8de4372caf3a679852915da25f08c3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	906.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
